hour,total_profit,avg_profit,wins,losses,total,winrate,categoria,color
0,130.0,0.31026252983293556,366,53,419,87.3508353221957,✅ RENTABLE,🟢
12,104.5,0.28396739130434784,315,53,368,85.59782608695652,✅ RENTABLE,🟢
6,104.0,0.2639593908629442,332,62,394,84.26395939086294,✅ RENTABLE,🟢
8,100.0,0.27624309392265195,308,54,362,85.0828729281768,✅ RENTABLE,🟢
4,98.5,0.3198051948051948,271,37,308,87.98701298701299,✅ RENTABLE,🟢
14,92.5,0.2598314606741573,299,57,356,83.98876404494382,✅ RENTABLE,🟢
5,83.0,0.23380281690140844,292,63,355,82.25352112676056,✅ RENTABLE,🟢
13,79.5,0.23043478260869565,283,62,345,82.02898550724638,✅ RENTABLE,🟢
16,76.0,0.21529745042492918,286,67,353,81.01983002832861,✅ RENTABLE,🟢
9,59.0,0.16619718309859155,276,79,355,77.74647887323944,✅ RENTABLE,🟢
17,56.0,0.16184971098265896,268,78,346,77.45664739884393,✅ RENTABLE,🟢
22,55.5,0.16818181818181818,257,73,330,77.87878787878788,✅ RENTABLE,🟢
1,55.0,0.14588859416445624,288,89,377,76.39257294429707,✅ RENTABLE,🟢
18,52.0,0.15384615384615385,260,78,338,76.92307692307693,✅ RENTABLE,🟢
7,45.0,0.10714285714285714,310,110,420,73.80952380952381,✅ RENTABLE,🟢
21,45.0,0.1485148514851485,232,71,303,76.56765676567657,✅ RENTABLE,🟢
2,40.0,0.11834319526627218,252,86,338,74.55621301775149,✅ RENTABLE,🟢
3,22.5,0.06696428571428571,239,97,336,71.13095238095238,✅ RENTABLE,🟢
11,21.0,0.059322033898305086,250,104,354,70.62146892655367,✅ RENTABLE,🟢
20,20.0,0.05405405405405406,260,110,370,70.27027027027027,✅ RENTABLE,🟢
10,19.0,0.057750759878419454,232,97,329,70.51671732522796,✅ RENTABLE,🟢
15,18.5,0.04556650246305419,283,123,406,69.70443349753694,✅ RENTABLE,🟢
23,-0.5,-0.0012953367875647669,257,129,386,66.58031088082902,❌ EVITAR,🔴
19,-1.5,-0.004629629629629629,215,109,324,66.35802469135803,❌ EVITAR,🔴
