time,open,high,low,close,volume,tick_volume,real_volume,spread
2001-01-01 00:00:00,0.9421,0.9423,0.9419,0.9419,5,5,0,50
2001-01-01 08:00:00,0.9422,0.9424,0.9422,0.9424,2,2,0,50
2001-01-01 12:00:00,0.9425,0.9425,0.9419,0.9419,2,2,0,50
2001-01-01 16:00:00,0.9397,0.942,0.939,0.9418,62,62,0,50
2001-01-01 20:00:00,0.9419,0.9429,0.94,0.9412,176,176,0,50
2001-01-02 00:00:00,0.941,0.9419,0.9367,0.9392,963,963,0,50
2001-01-02 04:00:00,0.9392,0.9398,0.9377,0.9385,832,832,0,50
2001-01-02 08:00:00,0.9384,0.9475,0.9381,0.9454,1815,1815,0,50
2001-01-02 12:00:00,0.9454,0.9463,0.9389,0.9416,1816,1816,0,50
2001-01-02 16:00:00,0.9417,0.9496,0.9412,0.9493,1560,1560,0,50
2001-01-02 20:00:00,0.9493,0.9519,0.9482,0.9507,999,999,0,50
2001-01-03 00:00:00,0.9508,0.9515,0.9493,0.9503,854,854,0,50
2001-01-03 04:00:00,0.9504,0.9518,0.9499,0.9511,878,878,0,50
2001-01-03 08:00:00,0.951,0.9573,0.9467,0.9565,2019,2019,0,50
2001-01-03 12:00:00,0.9569,0.957,0.9473,0.9489,1875,1875,0,50
2001-01-03 16:00:00,0.9489,0.95,0.9329,0.9335,1700,1700,0,50
2001-01-03 20:00:00,0.9333,0.9363,0.9262,0.9276,1139,1139,0,50
2001-01-04 00:00:00,0.9276,0.9312,0.9269,0.9298,1204,1204,0,50
2001-01-04 04:00:00,0.93,0.933,0.929,0.9322,1005,1005,0,50
2001-01-04 08:00:00,0.9323,0.952,0.932,0.9497,2301,2301,0,50
2001-01-04 12:00:00,0.95,0.9501,0.9421,0.9476,2144,2144,0,50
2001-01-04 16:00:00,0.9475,0.9502,0.9429,0.95,1689,1689,0,50
2001-01-04 20:00:00,0.9502,0.9516,0.9483,0.951,1213,1213,0,50
2001-01-05 00:00:00,0.951,0.9551,0.9508,0.9536,1230,1230,0,50
2001-01-05 04:00:00,0.9537,0.958,0.9532,0.9544,1389,1389,0,50
2001-01-05 08:00:00,0.9546,0.9596,0.9521,0.9534,2081,2081,0,50
