time,open,high,low,close,volume,tick_volume,real_volume,spread
2009-01-19 01:00:00,840.6,840.8,838.4,838.8,150,150,0,0
2009-01-19 02:00:00,838.7,839.3,836.6,836.9,185,185,0,0
2009-01-19 03:00:00,837.0,838.3,836.5,836.6,182,182,0,0
2009-01-19 04:00:00,836.5,838.3,836.4,837.0,147,147,0,0
2009-01-19 05:00:00,836.9,838.0,836.3,837.4,214,214,0,0
2009-01-19 06:00:00,837.7,838.8,837.7,838.7,184,184,0,0
2009-01-19 07:00:00,838.8,840.8,837.2,838.2,275,275,0,0
2009-01-19 08:00:00,838.1,838.5,836.2,836.4,336,336,0,0
2009-01-19 09:00:00,836.3,840.6,836.2,839.6,762,762,0,0
2009-01-19 10:00:00,839.7,840.9,838.5,840.7,679,679,0,0
2009-01-19 11:00:00,840.8,842.5,840.5,841.4,703,703,0,0
2009-01-19 12:00:00,841.5,841.9,838.0,838.4,557,557,0,0
2009-01-19 13:00:00,838.3,839.5,836.2,836.4,422,422,0,0
2009-01-19 14:00:00,836.3,838.0,835.8,836.6,601,601,0,0
2009-01-19 15:00:00,836.7,836.7,831.9,833.9,608,608,0,0
2009-01-19 16:00:00,833.7,835.5,831.9,834.5,766,766,0,0
2009-01-19 17:00:00,834.3,838.3,833.6,838.3,651,651,0,0
2009-01-19 18:00:00,838.2,839.1,836.7,837.0,428,428,0,0
2009-01-19 19:00:00,836.9,837.5,833.8,835.5,409,409,0,0
2009-01-19 20:00:00,835.1,837.5,835.1,837.2,306,306,0,0
2009-01-19 21:00:00,837.1,837.2,836.0,836.8,188,188,0,0
2009-01-19 22:00:00,836.9,837.0,834.8,835.5,249,249,0,0
2009-01-19 23:00:00,835.3,835.9,834.6,834.8,44,44,0,0
2009-01-20 01:00:00,834.0,834.3,829.6,829.6,630,630,0,0
2009-01-20 02:00:00,829.4,831.9,828.9,831.3,508,508,0,0
2009-01-20 03:00:00,831.4,831.8,830.8,831.3,272,272,0,0
2009-01-20 04:00:00,831.5,831.5,829.8,830.3,349,349,0,0
2009-01-20 05:00:00,830.2,830.3,825.9,826.3,633,633,0,0
2009-01-20 06:00:00,826.4,828.7,825.5,828.3,518,518,0,0
2009-01-20 07:00:00,828.4,830.5,828.0,830.1,508,508,0,0
2009-01-20 08:00:00,830.2,830.8,826.0,826.1,894,894,0,0
2009-01-20 09:00:00,826.2,829.0,823.2,828.6,979,979,0,0
2009-01-20 10:00:00,828.5,833.2,827.0,832.7,891,891,0,0
2009-01-20 11:00:00,832.6,834.9,830.4,831.6,1024,1024,0,0
2009-01-20 12:00:00,831.7,849.3,830.3,849.3,909,909,0,0
2009-01-20 13:00:00,849.4,856.0,848.3,851.3,1316,1316,0,0
2009-01-20 14:00:00,851.4,860.6,846.1,857.5,1447,1447,0,0
2009-01-20 15:00:00,857.1,857.7,851.2,853.1,1263,1263,0,0
