hour,total_profit,avg_profit,wins,losses,total,winrate,categoria,color
6,28.5,0.13380281690140844,180,33,213,84.50704225352112,✅ RENTABLE,🟢
0,24.25,0.0958498023715415,201,52,253,79.44664031620553,✅ RENTABLE,🟢
8,21.25,0.10678391959798995,161,38,199,80.90452261306532,✅ RENTABLE,🟢
4,19.0,0.10497237569060773,146,35,181,80.66298342541437,✅ RENTABLE,🟢
14,17.75,0.08616504854368932,161,45,206,78.15533980582524,✅ RENTABLE,🟢
7,14.75,0.060950413223140494,181,61,242,74.79338842975206,✅ RENTABLE,🟢
16,14.5,0.06872037914691943,160,51,211,75.82938388625593,✅ RENTABLE,🟢
17,13.0,0.07065217391304347,140,44,184,76.08695652173914,✅ RENTABLE,🟢
18,13.0,0.06341463414634146,154,51,205,75.1219512195122,✅ RENTABLE,🟢
5,12.75,0.0625,153,51,204,75.0,✅ RENTABLE,🟢
11,12.0,0.05970149253731343,150,51,201,74.6268656716418,✅ RENTABLE,🟢
12,11.0,0.055,148,52,200,74.0,✅ RENTABLE,🟢
13,10.25,0.05366492146596859,141,50,191,73.82198952879581,✅ RENTABLE,🟢
22,10.0,0.05263157894736842,140,50,190,73.68421052631578,✅ RENTABLE,🟢
2,9.5,0.0475,146,54,200,73.0,✅ RENTABLE,🟢
1,8.75,0.044416243654822336,143,54,197,72.58883248730965,✅ RENTABLE,🟢
21,8.0,0.05063291139240506,116,42,158,73.41772151898735,✅ RENTABLE,🟢
10,7.75,0.042119565217391304,133,51,184,72.28260869565217,✅ RENTABLE,🟢
9,6.75,0.0375,129,51,180,71.66666666666667,✅ RENTABLE,🟢
15,6.0,0.02531645569620253,166,71,237,70.042194092827,✅ RENTABLE,🟢
23,4.5,0.019736842105263157,158,70,228,69.2982456140351,✅ RENTABLE,🟢
3,1.75,0.008928571428571428,133,63,196,67.85714285714286,✅ RENTABLE,🟢
20,1.25,0.00589622641509434,143,69,212,67.45283018867924,✅ RENTABLE,🟢
19,-0.5,-0.002717391304347826,122,62,184,66.30434782608695,❌ EVITAR,🔴
